,mean_pitch,mean_intensity,sd_pitch,sd_intensity,duration,speaking_rate,jitter,shimmer,tag
246,0.13513739575981076,0.38981358656655396,31.20918162085279,9.12753774505942,0.8799999999999955,5.681818181818211,0.01621761239201131,0.09267820506340724,sd
247,-0.7496375489058185,0.2657209585724143,67.1070816260991,11.322192678687587,3.3599999999999994,2.3809523809523814,0.022475118842272015,0.10296562321832266,sd
248,-0.6948959930391494,-0.37610454511514035,54.58436939015644,14.995831905776074,2.480000000000004,0.40322580645161227,0.007764249453791391,0.07864459862963638,%
249,-0.541134708032172,-0.1977835249528359,56.07069493009832,18.655100968402795,3.519999999999996,2.5568181818181848,0.01972123528568069,0.08244264369715953,sd
250,-0.6734990048885312,-0.0005417827044360557,87.67231492565004,14.245795562791512,4.159999999999997,1.4423076923076934,0.019741912669930348,0.07371514605902259,sv
251,-0.6988068742788731,0.2977015962797791,63.133266649494,10.004893123655132,2.1599999999999966,3.7037037037037095,0.02532530490452105,0.09040323993783364,sv
252,-0.047636786186039615,0.0015702305240556935,20.398373955633048,16.447177164888295,3.4399999999999977,2.3255813953488387,0.01636779131822161,0.08252820475016662,sd
253,-0.8842693394134712,0.3502932021110514,55.39884863317481,11.098775903366368,2.280000000000001,2.63157894736842,0.012522364631121484,0.08275263973160084,sd
254,0.21984805271802133,0.4911957287107551,6.7768299132953675,9.33586113626564,1.4800000000000182,3.3783783783783368,0.013139221534512163,0.08162295842792577,sd
255,-0.13457486908255256,0.37312133134287073,2.7716820693659594,10.697236202868332,1.1999999999999886,4.166666666666706,0.009569592446159599,0.08948488304643772,sd
256,0.28424509817727106,0.464756203214721,6.70420051050606,12.761576960101035,1.0,3.0,0.010241710226547277,0.0795828953756591,sd
257,-0.5524380558031335,0.3101499278214346,83.91440167305271,13.302724523738489,1.3199999999999932,3.030303030303046,0.020241983071395835,0.09605458139174958,sd
258,-0.29798429568933993,0.2649273038792286,30.7531448850742,11.633757830882839,1.960000000000008,3.061224489795906,0.016513753364086878,0.08485150069457552,sv
259,-0.7207340662365709,0.31593690857485157,73.55177381332645,13.604779178215454,1.3199999999999932,3.7878787878788076,0.022145845800057656,0.09160873666368369,sv
260,-0.0953778503240662,0.09482219403651304,29.449677605361202,16.54653265112461,5.640000000000015,3.723404255319139,0.020221010349298702,0.07391897792533711,sv
261,-0.05181572720542049,0.5954537831631652,22.584879801938932,7.642283146083827,0.4399999999999977,2.2727272727272845,0.01716129290133401,0.08213527987164479,b
263,-0.7554294249212405,0.20198559522107007,86.13084549322872,13.562588423759355,0.9199999999999875,2.1739130434782905,0.016150328829356894,0.07082152302455144,aa
264,-0.4393096023687827,0.36382493543099725,6.029318564004156,6.90890936485433,0.1599999999999966,12.500000000000266,0.020921412134011014,0.10234369967643508,%
265,-0.5811955313402,0.2383954166884945,82.92694810353892,11.030115504506687,1.960000000000008,3.571428571428557,0.021529128618948526,0.09866435766597541,sv
269,0.16654358815077286,0.14272684635284216,28.488724092056703,11.8853143978733,1.6000000000000227,2.4999999999999645,0.019671748183909696,0.08362519178268876,%
270,-0.19633244366653868,0.437762738269033,34.19004646361523,8.824258214828829,1.9599999999999795,2.551020408163292,0.018629771571352385,0.07786990908269767,sv
271,0.15179597388836852,0.32422687909899683,28.71859917471,10.484859120880206,1.0400000000000205,1.9230769230768852,0.02717279931634023,0.11131052152845335,%
275,-0.1302681651873615,0.3913916078441195,15.047075102395942,11.233392357835601,0.2400000000000091,4.166666666666509,0.0165602391528195,0.0892042067104925,aa
276,-0.6484682506194028,0.28037828170891754,57.71356787467088,11.056486531210489,3.1200000000000045,4.487179487179481,0.018385546267181183,0.09091280815446305,sd
277,-0.7334220649755583,-0.2994542003401942,71.51957044038971,17.668999130352866,3.719999999999999,2.956989247311829,0.018461913453667583,0.10893176440464618,sv
278,-0.7589748069536194,0.28845938156229356,51.8807284565456,11.304835622248694,3.6399999999999864,3.0219780219780334,0.017811845845183884,0.07507925493931111,sv
279,-0.7756352509108062,0.4290058349853356,93.20606148577271,10.37691071960937,1.4399999999999977,4.861111111111119,0.01867698742664123,0.10408861037221913,sd
280,-0.0004082561232787718,0.08739568198350378,12.949091852011234,13.234250692467906,1.8400000000000034,2.717391304347821,0.01872829188024028,0.11628587749526885,sd
281,-0.03886437089181671,-0.17653713655303405,8.416859564794182,14.617564068688715,0.5999999999999943,1.6666666666666825,0.01754325605840134,0.06278604157562445,b
282,-0.4192458757322124,0.18471231013546707,41.01705666976676,14.049677029292003,4.800000000000011,2.0833333333333286,0.015104925229730472,0.08881650661173175,sv
283,-0.6108029736896514,0.15071897036559578,69.1333795945682,14.81714681476866,12.840000000000003,2.8816199376947034,0.016591986342770516,0.09715178713281392,sv
284,-0.6386528124288402,0.27070186878893643,48.732142481217686,13.218533086482367,6.799999999999983,2.6470588235294183,0.01853157735111835,0.10091862919961772,sv
286,-0.6482444913541494,0.3978693796207624,71.5895352316979,11.512914969749945,6.639999999999986,3.765060240963863,0.015765101353560452,0.09965544740272803,sd
287,-0.6566856366855377,0.24017496134299243,81.13313772896026,16.56448383883131,5.480000000000018,2.5547445255474366,0.020722307369715455,0.10533381128633128,sd
288,-0.556215982643431,0.4325482315012086,34.42376043633526,11.254800811213734,5.599999999999994,4.464285714285719,0.01953865259636025,0.10424718891304034,sd
